model,lead,POD,FAR,TP,FP,FN,TN,n_drought_actual
climatology,1,0.0,0.0,0,0,3355,12881,3355
persistence,1,0.5126676602086438,0.3430099312452254,1720,898,1635,11983,3355
ar,1,0.20178837555886736,0.057103064066852366,677,41,2678,12840,3355
ols,1,0.3734724292101341,0.2231866088034718,1253,360,2102,12521,3355
ridge,1,0.3657228017883756,0.21497120921305182,1227,336,2128,12545,3355
lasso,1,0.34008941877794335,0.14016578749058026,1141,186,2214,12695,3355
elasticnet,1,0.34575260804769004,0.14893617021276595,1160,203,2195,12678,3355
rf,1,0.3016393442622951,0.1459915611814346,1012,173,2343,12708,3355
xgboost,1,0.31236959761549926,0.1416871416871417,1048,173,2307,12708,3355
climatology,3,0.0,0.0,0,0,3241,12831,3241
persistence,3,0.19191607528540575,0.7290940766550522,622,1674,2619,11157,3241
ar,3,0.0,0.0,0,0,3241,12831,3241
ols,3,0.0,0.0,0,0,3241,12831,3241
ridge,3,0.0,0.0,0,0,3241,12831,3241
lasso,3,0.0,0.0,0,0,3241,12831,3241
elasticnet,3,0.0,0.0,0,0,3241,12831,3241
rf,3,0.03795124961431657,0.2064516129032258,123,32,3118,12799,3241
xgboost,3,0.03363159518667078,0.2534246575342466,109,37,3132,12794,3241
climatology,6,0.0,0.0,0,0,3241,12831,3241
persistence,6,0.2548596112311015,0.7771181867242309,826,2880,2415,9951,3241
ar,6,0.0,0.0,0,0,3241,12831,3241
ols,6,0.0,0.0,0,0,3241,12831,3241
ridge,6,0.0,0.0,0,0,3241,12831,3241
lasso,6,0.0,0.0,0,0,3241,12831,3241
elasticnet,6,0.0,0.0,0,0,3241,12831,3241
rf,6,0.0,0.0,0,0,3241,12831,3241
xgboost,6,0.0,0.0,0,0,3241,12831,3241
