model,lead,mean,std,min,max
climatology,1,0.0,0.0,0.0,0.0
climatology,3,0.0,0.0,0.0,0.0
climatology,6,0.0,0.0,0.0,0.0
persistence,1,0.485,0.136,0.332,0.66
persistence,3,-0.775,0.375,-1.35,-0.356
persistence,6,-0.572,0.733,-1.833,-0.033
ar,1,0.6,0.074,0.522,0.684
ar,3,0.028,0.012,0.015,0.046
ar,6,0.039,0.017,0.017,0.061
ols,1,0.662,0.115,0.485,0.785
ols,3,0.011,0.072,-0.09,0.111
ols,6,0.011,0.075,-0.08,0.092
ridge,1,0.665,0.112,0.49,0.785
ridge,3,0.013,0.071,-0.09,0.106
ridge,6,0.014,0.072,-0.076,0.089
lasso,1,0.683,0.093,0.551,0.787
lasso,3,0.011,0.049,-0.073,0.047
lasso,6,0.041,0.027,0.005,0.071
elasticnet,1,0.676,0.092,0.549,0.787
elasticnet,3,0.011,0.049,-0.075,0.047
elasticnet,6,0.045,0.021,0.023,0.071
rf,1,0.67,0.105,0.537,0.795
rf,3,0.049,0.123,-0.08,0.202
rf,6,0.037,0.062,-0.042,0.121
xgboost,1,0.679,0.108,0.545,0.794
xgboost,3,-0.087,0.184,-0.248,0.13
xgboost,6,0.068,0.028,0.042,0.117
