model,lead,mean,std,min,max
climatology,1,0.0,0.0,0.0,0.0
climatology,3,0.0,0.0,0.0,0.0
climatology,6,0.0,0.0,0.0,0.0
persistence,1,0.485,0.136,0.332,0.66
persistence,3,-0.775,0.375,-1.35,-0.356
persistence,6,-0.572,0.733,-1.833,-0.033
ar,1,0.6,0.074,0.522,0.684
ar,3,0.028,0.012,0.015,0.046
ar,6,0.039,0.017,0.017,0.061
ols,1,0.681,0.106,0.542,0.79
ols,3,-0.156,0.118,-0.327,-0.035
ols,6,-1.126,1.247,-3.313,-0.165
ridge,1,0.689,0.094,0.566,0.783
ridge,3,-0.082,0.069,-0.152,0.007
ridge,6,-0.491,0.812,-1.936,0.016
lasso,1,0.695,0.086,0.595,0.784
lasso,3,0.019,0.031,-0.008,0.067
lasso,6,0.032,0.03,-0.01,0.068
elasticnet,1,0.691,0.089,0.588,0.784
elasticnet,3,0.02,0.028,-0.008,0.065
elasticnet,6,0.032,0.03,-0.01,0.068
rf,1,0.589,0.142,0.382,0.749
rf,3,-0.037,0.045,-0.11,0.004
rf,6,0.042,0.115,-0.121,0.187
xgboost,1,0.615,0.132,0.461,0.757
xgboost,3,0.029,0.088,-0.074,0.169
xgboost,6,-0.15,0.343,-0.655,0.195
