model,lead,POD,FAR,TP,FP,FN,TN,n_drought_actual
climatology,1,0.0,0.0,0,0,3355,12881,3355
persistence,1,0.5126676602086438,0.3430099312452254,1720,898,1635,11983,3355
ar,1,0.20178837555886736,0.057103064066852366,677,41,2678,12840,3355
ols,1,0.3842026825633383,0.18879798615481436,1289,300,2066,12581,3355
ridge,1,0.36095380029806257,0.1630960608154803,1211,236,2144,12645,3355
lasso,1,0.33710879284649775,0.12461300309597523,1131,161,2224,12720,3355
elasticnet,1,0.34038748137108793,0.14392803598200898,1142,192,2213,12689,3355
rf,1,0.2053651266766021,0.18941176470588236,689,161,2666,12720,3355
xgboost,1,0.32190760059612517,0.12123677786818551,1080,149,2275,12732,3355
climatology,3,0.0,0.0,0,0,3241,12831,3241
persistence,3,0.19191607528540575,0.7290940766550522,622,1674,2619,11157,3241
ar,3,0.0,0.0,0,0,3241,12831,3241
ols,3,0.0,1.0,0,1,3241,12830,3241
ridge,3,0.0,0.0,0,0,3241,12831,3241
lasso,3,0.0,0.0,0,0,3241,12831,3241
elasticnet,3,0.0,0.0,0,0,3241,12831,3241
rf,3,0.08361616784942918,0.14779874213836477,271,47,2970,12784,3241
xgboost,3,0.04165381055229867,0.0425531914893617,135,6,3106,12825,3241
climatology,6,0.0,0.0,0,0,3241,12831,3241
persistence,6,0.2548596112311015,0.7771181867242309,826,2880,2415,9951,3241
ar,6,0.0,0.0,0,0,3241,12831,3241
ols,6,0.0,0.0,0,0,3241,12831,3241
ridge,6,0.0,0.0,0,0,3241,12831,3241
lasso,6,0.0,0.0,0,0,3241,12831,3241
elasticnet,6,0.0,0.0,0,0,3241,12831,3241
rf,6,0.0,0.0,0,0,3241,12831,3241
xgboost,6,0.0,1.0,0,96,3241,12735,3241
