experiment,model,lead,n_folds,n_features,K_eff,boundary_gap,fit_seconds,best_val,best_iter,n_trials
default,elasticnet,1,5,59.6,5.0,8.0,113.27,-0.45,,35.0
default,elasticnet,3,5,59.6,5.0,10.0,59.4,-0.97,,35.0
default,elasticnet,6,5,59.6,5.0,13.0,61.04,-0.97,,35.0
default,lasso,1,5,59.6,5.0,8.0,20.33,-0.45,,13.0
default,lasso,3,5,59.6,5.0,10.0,18.36,-0.97,,13.0
default,lasso,6,5,59.6,5.0,13.0,19.26,-0.97,,13.0
default,ols,1,5,59.6,5.0,8.0,1.46,,,0.0
default,ols,3,5,59.6,5.0,10.0,1.19,,,0.0
default,ols,6,5,59.6,5.0,13.0,1.22,,,0.0
default,rf,1,5,59.6,5.0,8.0,2398.64,-0.44,,40.0
default,rf,3,5,59.6,5.0,10.0,1949.69,-1.02,,40.0
default,rf,6,5,59.6,5.0,13.0,1259.74,-1.02,,40.0
default,ridge,1,5,59.6,5.0,8.0,16.2,-0.46,,13.0
default,ridge,3,5,59.6,5.0,10.0,15.51,-1.01,,13.0
default,ridge,6,5,59.6,5.0,13.0,16.0,-1.04,,13.0
default,xgboost,1,5,59.6,5.0,8.0,96.11,-0.4,146.0,40.0
default,xgboost,3,5,59.6,5.0,10.0,75.04,-0.96,1.8,40.0
default,xgboost,6,5,59.6,5.0,13.0,74.88,-0.97,1.6,40.0
