lead,fold,T,epochs_run,final_train_loss,min_train_loss,min_at_epoch,still_descending
1,1,24,80,1.0251302988472955,1.0251302988472955,80,True
1,2,24,80,1.0569308008111589,1.0569308008111589,80,True
1,3,24,80,1.0264579892756482,1.0264579892756482,80,True
1,4,24,80,1.0385812375285453,1.0385812375285453,80,True
1,5,24,80,1.0151852696563353,1.0151852696563353,80,True
3,1,24,80,0.7916497230090211,0.7859866059182872,79,True
3,2,24,80,0.8041616252036895,0.8041616252036895,80,True
3,3,24,80,0.7772860889568848,0.7772860889568848,80,True
3,4,24,80,0.8066142686592571,0.8066142686592571,80,True
3,5,24,80,0.7817277765932944,0.7807092099452285,79,True
6,1,12,80,1.2327238246932415,1.2327238246932415,80,True
6,2,12,80,1.2447091122629843,1.2447091122629843,80,True
6,3,12,80,1.23591151041966,1.2290589509730037,79,True
6,4,12,80,1.2332250671309184,1.2332250671309184,80,True
6,5,12,80,1.2469443373348439,1.2348818791411578,79,True
