model,lead,rmse,mae,pearson_r,acc,msss_vs_climatology
ols,1,0.57,0.458,0.806,0.809,0.672
ols,3,1.0,0.832,-0.001,0.032,0.001
ols,6,1.028,0.863,0.014,0.087,0.012
ridge,1,0.567,0.456,0.808,0.811,0.675
ridge,3,0.999,0.831,0.004,0.039,0.004
ridge,6,1.026,0.862,0.019,0.095,0.015
lasso,1,0.552,0.448,0.82,0.824,0.692
lasso,3,0.997,0.828,-0.088,0.012,0.007
lasso,6,1.012,0.849,0.05,0.235,0.042
elasticnet,1,0.558,0.453,0.816,0.82,0.685
elasticnet,3,0.997,0.828,-0.101,0.006,0.006
elasticnet,6,1.009,0.847,0.044,0.213,0.047
rf,1,0.563,0.466,0.812,0.815,0.68
rf,3,0.983,0.809,0.079,0.11,0.035
rf,6,1.014,0.851,0.04,0.16,0.038
xgboost,1,0.554,0.457,0.817,0.821,0.69
xgboost,3,1.056,0.862,-0.083,-0.068,-0.113
xgboost,6,1.0,0.834,0.138,0.214,0.066
lstm,1,0.629,0.501,0.777,0.78,0.602
lstm,3,1.351,1.11,-0.12,-0.106,-0.815
lstm,6,1.079,0.898,0.146,0.173,-0.084
