model,lead,POD,FAR,TP,FP,FN,TN,n_drought_actual
climatology,1,0.0,0.0,0,0,3355,12881,3355
persistence,1,0.5126676602086438,0.3430099312452254,1720,898,1635,11983,3355
ar,1,0.20178837555886736,0.057103064066852366,677,41,2678,12840,3355
ols,1,0.3687034277198212,0.2060333761232349,1237,321,2118,12560,3355
ridge,1,0.33710879284649775,0.17805232558139536,1131,245,2224,12636,3355
lasso,1,0.3302533532041729,0.12824547600314712,1108,163,2247,12718,3355
elasticnet,1,0.3257824143070045,0.11138211382113822,1093,137,2262,12744,3355
rf,1,0.17317436661698957,0.13798219584569732,581,93,2774,12788,3355
xgboost,1,0.2721311475409836,0.14111006585136407,913,150,2442,12731,3355
climatology,3,0.0,0.0,0,0,3241,12831,3241
persistence,3,0.19191607528540575,0.7290940766550522,622,1674,2619,11157,3241
ar,3,0.0,0.0,0,0,3241,12831,3241
ols,3,0.0,0.0,0,0,3241,12831,3241
ridge,3,0.0,0.0,0,0,3241,12831,3241
lasso,3,0.0,0.0,0,0,3241,12831,3241
elasticnet,3,0.0,0.0,0,0,3241,12831,3241
rf,3,0.04350509102128972,0.007042253521126761,141,1,3100,12830,3241
xgboost,3,0.0,1.0,0,15,3241,12816,3241
climatology,6,0.0,0.0,0,0,3241,12831,3241
persistence,6,0.2548596112311015,0.7771181867242309,826,2880,2415,9951,3241
ar,6,0.0,0.0,0,0,3241,12831,3241
ols,6,0.0,0.0,0,0,3241,12831,3241
ridge,6,0.0,0.0,0,0,3241,12831,3241
lasso,6,0.0,0.0,0,0,3241,12831,3241
elasticnet,6,0.0,0.0,0,0,3241,12831,3241
rf,6,0.0,0.0,0,0,3241,12831,3241
xgboost,6,0.0015427337241592102,0.9691358024691358,5,157,3236,12674,3241
