fold,lead,model,best_params,best_val_score,best_iteration,n_features_total,n_features_retained,K_eff,boundary_gap,search_duration_s,fit_duration_s,n_trials,train_rmse
1,1,climatology,{},,,0,0,4,7,0.0,0.01267671585083,0,1.0021630578225293
1,1,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,7,0.0,2.6226043701171875e-05,0,0.7378427188625664
1,1,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,7,0.0,0.0540032386779785,0,0.6604552597965802
1,1,ols,{},,,57,57,4,7,0.0,1.9376220703125,0,0.634528140699865
1,1,ridge,"{""alpha"": 316.0}",-0.4756494109322585,,57,57,4,7,12.569023847579956,13.754862070083618,13,0.6338137651610678
1,1,lasso,"{""alpha"": 0.01}",-0.4741502807735123,,57,24,4,7,14.62501621246338,15.912259101867676,13,0.6302976323696253
1,1,elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.9}",-0.4739999483015306,,57,25,4,7,301.56234097480774,304.379919052124,35,0.6302322529114127
1,1,rf,"{""n_estimators"": 200, ""max_depth"": 20, ""min_samples_leaf"": 5, ""max_features"": 0.5}",-0.4708903377629966,,57,57,4,7,1755.2526597976685,1782.854974985123,40,0.13089997798349773
1,1,xgboost,"{""max_depth"": 6, ""learning_rate"": 0.05, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_lambda"": 10.0, ""min_child_weight"": 5}",-0.4271263830316297,248.0,57,57,4,7,91.34844398498537,93.68838500976562,40,0.32584344827618744
2,1,climatology,{},,,0,0,4,7,0.0,0.0146560668945312,0,0.9862929128893774
2,1,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,7,0.0,2.5987625122070312e-05,0,0.7383734554973825
2,1,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,7,0.0,0.0477311611175537,0,0.6554039799757899
2,1,ols,{},,,59,59,4,7,0.0,1.359052658081055,0,0.6308126082962421
2,1,ridge,"{""alpha"": 1000.0}",-0.4619945308648739,,59,59,4,7,13.446797132492064,14.902573823928831,13,0.6295380935115723
2,1,lasso,"{""alpha"": 0.0316}",-0.4452621122355504,,59,11,4,7,17.82671093940735,19.129230260849,13,0.6331662471066937
2,1,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.3}",-0.4545779386101423,,59,11,4,7,57.545814037323,58.809452056884766,35,0.6388232017776783
2,1,rf,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": 1.0}",-0.4328045736263332,,59,59,4,7,3271.2628378868103,3427.6050910949707,40,0.1253206343336205
2,1,xgboost,"{""max_depth"": 4, ""learning_rate"": 0.1, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_lambda"": 0.1, ""min_child_weight"": 1}",-0.411562661286122,130.0,59,59,4,7,75.22152805328369,76.88182663917542,40,0.46384501071557466
3,1,climatology,{},,,0,0,4,7,0.0,0.0141587257385253,0,0.9756028359481265
3,1,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,7,0.0,2.2172927856445312e-05,0,0.7226322747284618
3,1,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,7,0.0,0.0515582561492919,0,0.6452353677478907
3,1,ols,{},,,61,61,4,7,0.0,1.2196078300476074,0,0.6208529434397991
3,1,ridge,"{""alpha"": 100.0}",-0.4094427444329835,,61,61,4,7,14.94433879852295,16.12388515472412,13,0.6205458576435188
3,1,lasso,"{""alpha"": 0.001}",-0.4088923426412369,,61,49,4,7,17.976902723312378,20.99165916442871,13,0.6194551240202324
3,1,elasticnet,"{""alpha"": 0.001, ""l1_ratio"": 0.9}",-0.4088258911415982,,61,49,4,7,59.88466787338257,63.15641498565674,35,0.6195833493168693
3,1,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 20, ""max_features"": 0.5}",-0.3751318687632813,,61,61,4,7,1513.0423250198364,1545.4694380760193,40,0.24285374797422002
3,1,xgboost,"{""max_depth"": 8, ""learning_rate"": 0.05, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""min_child_weight"": 1}",-0.3636955014398652,127.0,61,61,4,7,97.22558403015135,99.82444977760316,40,0.28806216894599523
4,1,climatology,{},,,0,0,4,7,0.0,0.00956392288208,0,0.9787749821745937
4,1,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,7,0.0,1.0013580322265623e-05,0,0.7284127721419223
4,1,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,7,0.0,0.0515882968902587,0,0.6490928325309376
4,1,ols,{},,,60,60,4,7,0.0,1.3217442035675049,0,0.621737345055514
4,1,ridge,"{""alpha"": 100.0}",-0.4898819973728772,,60,60,4,7,16.13964009284973,17.62471079826355,13,0.6214203269991885
4,1,lasso,"{""alpha"": 0.01}",-0.4896127379302066,,60,20,4,7,19.10370182991028,20.72662591934204,13,0.6165620984752719
4,1,elasticnet,"{""alpha"": 0.001, ""l1_ratio"": 0.3}",-0.4895717696145992,,60,56,4,7,63.050901651382446,68.31828904151917,35,0.620997251643473
