fold,lead,model,best_params,best_val_score,best_iteration,n_features_total,n_features_retained,K_eff,boundary_gap,search_duration_s,fit_duration_s,n_trials
1,1,climatology,{},,,0,0,4,7,0.0,0.01267695426940918,0
1,1,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,7,0.0,1.0013580322265625e-05,0
1,1,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,7,0.0,0.04523110389709473,0
1,1,ridge,"{""alpha"": 100.0}",-0.47599746117438113,,57,57,4,7,2.873483180999756,4.029692888259888,3
1,1,lasso,"{""alpha"": 0.01}",-0.4741502807735123,,57,24,4,7,5.910616874694824,7.0167200565338135,4
1,1,elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.7}",-0.4741621659201718,,57,27,4,7,11.382973909378052,12.515533685684204,6
1,1,rf,"{""n_estimators"": 500, ""max_depth"": 10, ""min_samples_leaf"": 1, ""max_features"": 0.5}",-0.47557859457623425,,57,57,4,7,245.76657581329346,293.821182012558,5
1,1,xgboost,"{""max_depth"": 8, ""learning_rate"": 0.05, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""min_child_weight"": 5}",-0.4388560245622347,177.0,57,57,4,7,11.41458010673523,13.92621111869812,5
2,1,climatology,{},,,0,0,4,7,0.0,0.008729934692382812,0
2,1,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,7,0.0,1.0967254638671875e-05,0
2,1,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,7,0.0,0.0464169979095459,0
2,1,ridge,"{""alpha"": 100.0}",-0.4629190036604199,,59,59,4,7,3.1666669845581055,4.465635776519775,3
2,1,lasso,"{""alpha"": 0.01}",-0.45640884243725105,,59,21,4,7,6.840932846069336,8.249863147735596,4
2,1,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.3}",-0.45457793861014234,,59,11,4,7,13.445087194442749,14.87214994430542,6
2,1,rf,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": 1.0}",-0.4328045736263332,,59,59,4,7,287.4775540828705,443.418829202652,5
2,1,xgboost,"{""max_depth"": 8, ""learning_rate"": 0.05, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_lambda"": 10.0, ""min_child_weight"": 5}",-0.4271743033390001,93.0,59,59,4,7,11.807545185089111,14.037081241607666,5
3,1,climatology,{},,,0,0,4,7,0.0,0.015056133270263672,0
3,1,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,7,0.0,1.811981201171875e-05,0
3,1,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,7,0.0,0.05580306053161621,0
3,1,ridge,"{""alpha"": 100.0}",-0.4094427444329835,,61,61,4,7,3.33815598487854,4.609868764877319,3
