hidden_units,dropout,sequence_length,learning_rate,val_loss,fit_duration_s,n_train_samples,n_val_samples,epochs_run,best_epoch
64,0.2,6,0.001,0.49302011728286743,12.975829124450684,77572,11480,12,2
64,0.2,6,0.0001,0.49642738699913025,29.38963294029236,77572,11480,27,17
64,0.2,12,0.001,0.5115171670913696,20.828943967819214,76588,11480,12,2
64,0.2,12,0.0001,0.4952373802661896,47.71491813659668,76588,11480,26,16
64,0.2,24,0.001,0.4957279562950134,45.83479404449463,74620,11480,12,2
64,0.2,24,0.0001,0.4925910234451294,116.17061305046082,74620,11480,30,20
64,0.4,6,0.001,0.5261973738670349,17.078798055648804,77572,11480,12,2
64,0.4,6,0.0001,0.5313091278076172,47.58663296699524,77572,11480,37,27
64,0.4,12,0.001,0.5110393166542053,31.01465606689453,76588,11480,14,4
64,0.4,12,0.0001,0.5108751654624939,79.3268039226532,76588,11480,37,27
64,0.4,24,0.001,0.5131117105484009,48.17733907699585,74620,11480,13,3
64,0.4,24,0.0001,0.5049942135810852,155.63252019882202,74620,11480,43,33
128,0.2,6,0.001,0.49731674790382385,23.263708353042603,77572,11480,11,1
128,0.2,6,0.0001,0.4943760931491852,58.70961785316467,77572,11480,26,16
128,0.2,12,0.001,0.48569944500923157,43.706910848617554,76588,11480,11,1
128,0.2,12,0.0001,0.485293447971344,92.97358226776123,76588,11480,21,11
128,0.2,24,0.001,0.48328521847724915,98.0487699508667,74620,11480,11,1
128,0.2,24,0.0001,0.49311479926109314,177.08195877075195,74620,11480,22,12
128,0.4,6,0.001,0.51829993724823,32.11470890045166,77572,11480,12,2
128,0.4,6,0.0001,0.5044584274291992,71.85631370544434,77572,11480,26,16
128,0.4,12,0.001,0.5032798647880554,57.92342710494995,76588,11480,12,2
128,0.4,12,0.0001,0.4899573028087616,136.7379469871521,76588,11480,29,19
128,0.4,24,0.001,0.4911881685256958,110.99372267723083,74620,11480,12,2
128,0.4,24,0.0001,0.4825987219810486,253.57347083091736,74620,11480,28,18
