model,lead,fold,evaluation_window,metric,value,ci_lower,ci_upper,std,n_replicates
climatology,1,pooled,winter_only,mae,0.8305436820414546,0.7500540459774485,0.9118513454470718,0.04188592588057418,1000
climatology,1,pooled,winter_only,rmse,0.9970062437168424,0.9074225419885087,1.0805126240679135,0.04542914270352516,1000
climatology,1,pooled,winter_only,pearson_r,-0.1525819090813531,-0.24375947818926214,-0.06754807790446968,0.04707699321969817,1000
climatology,1,pooled,winter_only,acc,,,,,1000
climatology,1,pooled,winter_only,msss_vs_climatology,0.0,0.0,0.0,0.0,1000
climatology,1,pooled,winter_only,msss_vs_persistence,-0.9734489609884882,-1.6149707579076937,-0.49999702963652043,0.2781389267790676,1000
persistence,1,pooled,winter_only,mae,0.5508059027750101,0.4879485554488224,0.6165292659103772,0.03278324673992789,1000
persistence,1,pooled,winter_only,rmse,0.7097165433795117,0.6368983883927706,0.7817098554262611,0.037579116456307904,1000
persistence,1,pooled,winter_only,pearson_r,0.7193301145149908,0.6401484765749572,0.7796366551476382,0.03442479477975989,1000
persistence,1,pooled,winter_only,acc,0.7225331600758456,0.6452488906957703,0.7827555813501038,0.034072333328139096,1000
persistence,1,pooled,winter_only,msss_vs_climatology,0.49327293496402036,0.33333196734581566,0.617586545815905,0.07087585290046662,1000
persistence,1,pooled,winter_only,msss_vs_persistence,0.0,0.0,0.0,0.0,1000
lstm,1,pooled,winter_only,mae,0.5013503002505906,0.4496679591792014,0.5609770933601074,0.028169020279167345,1000
lstm,1,pooled,winter_only,rmse,0.6293646587184865,0.558262414338154,0.7001693759086894,0.03537854983772883,1000
lstm,1,pooled,winter_only,pearson_r,0.7769679491667174,0.7065180390849952,0.8244685661752811,0.02924825783218103,1000
lstm,1,pooled,winter_only,acc,0.7796547292529339,0.7123950540395397,0.8264289070846536,0.028862815254786178,1000
lstm,1,pooled,winter_only,msss_vs_climatology,0.6015177804868239,0.45619814684351,0.706324989001304,0.06485021351209393,1000
lstm,1,pooled,winter_only,msss_vs_persistence,0.2136156779293361,-0.006820264456764014,0.3985378305922154,0.10498896637231678,1000
climatology,1,pooled,all_months,mae,0.8296043502698359,0.7750109806666003,0.885679790886661,0.028928747176764535,1000
climatology,1,pooled,all_months,rmse,0.9997032906311067,0.9360654807348782,1.0613613394018802,0.03210087120542458,1000
climatology,1,pooled,all_months,pearson_r,-0.22803980570737717,-0.3208967477767219,-0.1371121234252874,0.04829840971011128,1000
climatology,1,pooled,all_months,acc,,,,,1000
climatology,1,pooled,all_months,msss_vs_climatology,0.0,0.0,0.0,0.0,1000
climatology,1,pooled,all_months,msss_vs_persistence,-0.5919221240521462,-0.8806698461354499,-0.374323660011406,0.1325601001111064,1000
persistence,1,pooled,all_months,mae,0.6083070006521305,0.5632590899281289,0.6554248918678303,0.02329114282601637,1000
persistence,1,pooled,all_months,rmse,0.792337502846109,0.737356885984835,0.8479052771119603,0.028917531006568784,1000
persistence,1,pooled,all_months,pearson_r,0.6558504016889375,0.6025120253034569,0.7005511250929836,0.025332370266914313,1000
persistence,1,pooled,all_months,acc,0.6669401167671756,0.6146125541405908,0.710691921270312,0.024981300904625203,1000
persistence,1,pooled,all_months,msss_vs_climatology,0.37182856818739507,0.2723693630824164,0.46827448699845536,0.05175286667825323,1000
persistence,1,pooled,all_months,msss_vs_persistence,0.0,0.0,0.0,0.0,1000
lstm,1,pooled,all_months,mae,0.5651348076857345,0.525307852198598,0.6117197452344337,0.02213152349435924,1000
lstm,1,pooled,all_months,rmse,0.7262690982758335,0.6756447507386464,0.7808747242968046,0.026503256285645805,1000
lstm,1,pooled,all_months,pearson_r,0.6845415763296325,0.6376255560725571,0.7289260640474454,0.02260793213080521,1000
lstm,1,pooled,all_months,acc,0.6956764624444837,0.6501801308560459,0.7392146363414566,0.021806640945628775,1000
