model,lead,mae,rmse,pearson_r,acc,msss_vs_climatology
elasticnet,1,0.055,0.065,0.05,0.048,0.077
elasticnet,3,-0.008,-0.011,-0.119,-0.097,-0.022
elasticnet,6,0.001,0.003,-0.092,-0.067,0.006
lasso,1,0.06,0.071,0.054,0.052,0.085
lasso,3,-0.008,-0.011,-0.106,-0.091,-0.021
lasso,6,-0.001,0.0,-0.086,-0.044,0.0
ols,1,0.05,0.053,0.04,0.038,0.064
ols,3,-0.012,-0.014,-0.019,-0.071,-0.027
ols,6,-0.016,-0.016,-0.122,-0.192,-0.03
rf,1,0.042,0.06,0.046,0.044,0.072
rf,3,0.011,0.004,0.061,0.007,0.007
rf,6,-0.003,-0.002,-0.096,-0.12,-0.003
ridge,1,0.052,0.056,0.042,0.04,0.068
ridge,3,-0.011,-0.012,-0.014,-0.064,-0.024
ridge,6,-0.015,-0.014,-0.117,-0.185,-0.026
xgboost,1,0.051,0.069,0.051,0.049,0.082
xgboost,3,-0.042,-0.069,-0.101,-0.171,-0.141
xgboost,6,0.013,0.013,0.002,-0.066,0.025
