model,lead,mae,rmse,pearson_r,acc,msss_vs_climatology,msss_vs_persistence
climatology,1,0.83,0.99,-0.12*,NaN,0.00,-0.96*
climatology,3,0.83,1.00,-0.10*,NaN,0.00,0.43*
climatology,6,0.87,1.03,-0.20*,NaN,0.00,0.33*
persistence,1,0.55,0.71,0.72*,0.72*,0.49*,0.00
persistence,3,1.08,1.32,0.02,0.02,-0.74*,0.00
persistence,6,1.00,1.27,0.14,0.15,-0.50*,0.00
ar,1,0.51,0.62,0.77*,0.77*,0.61*,0.23*
ar,3,0.82,0.99,-0.04,0.10,0.03*,0.44*
ar,6,0.85,1.01,0.04,0.28*,0.04*,0.36*
ridge,1,0.46,0.57,0.81*,0.81*,0.67*,0.36*
ridge,3,0.83,1.00,-0.00,0.03,0.00,0.43*
ridge,6,0.86,1.03,0.01,0.09,0.01,0.34*
lasso,1,0.44,0.55,0.82*,0.82*,0.69*,0.40*
lasso,3,0.83,1.00,-0.18,-0.03,0.00,0.43*
lasso,6,0.85,1.01,0.08,0.24*,0.04,0.36*
elasticnet,1,0.45,0.56,0.82*,0.82*,0.68*,0.38*
elasticnet,3,0.83,1.00,-0.10,0.01,0.01,0.43*
elasticnet,6,0.85,1.01,0.05,0.23*,0.04*,0.36*
rf,1,0.47,0.57,0.81*,0.81*,0.67*,0.36*
rf,3,0.83,1.02,0.03,0.04,-0.04,0.41*
rf,6,0.84,1.01,0.13,0.19,0.05,0.37*
xgboost,1,0.46,0.55,0.82*,0.82*,0.69*,0.39*
xgboost,3,0.85,1.04,-0.03,-0.02,-0.09,0.38*
xgboost,6,0.83,1.00,0.16,0.23*,0.07*,0.38*
