model,lead,mae,rmse,pearson_r,acc,msss_vs_climatology
elasticnet,1,0.055,0.064,0.05,0.048,0.077
elasticnet,3,-0.007,-0.011,-0.116,-0.089,-0.021
elasticnet,6,-0.0,0.002,-0.089,-0.052,0.003
lasso,1,0.063,0.073,0.054,0.052,0.087
lasso,3,-0.008,-0.013,-0.194,-0.128,-0.025
lasso,6,-0.0,0.001,-0.06,-0.044,0.002
rf,1,0.038,0.055,0.043,0.041,0.066
rf,3,-0.009,-0.031,0.012,-0.06,-0.063
rf,6,0.01,0.007,-0.005,-0.092,0.013
ridge,1,0.051,0.054,0.04,0.038,0.065
ridge,3,-0.012,-0.013,-0.018,-0.07,-0.026
ridge,6,-0.016,-0.015,-0.121,-0.191,-0.029
xgboost,1,0.049,0.068,0.051,0.049,0.082
xgboost,3,-0.03,-0.056,-0.051,-0.123,-0.113
xgboost,6,0.017,0.017,0.019,-0.055,0.032
