fold,lead,model,best_params,best_val_score,best_iteration,n_features_total,n_features_retained,K_eff,boundary_gap,search_duration_s,fit_duration_s,n_trials,train_rmse
1,1,climatology,{},,,0,0,4,7,0.0,0.0170550346374511,0,1.0021630578225293
1,1,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,7,0.0,1.9073486328125e-05,0,0.7378427188625664
1,1,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,7,0.0,0.0500879287719726,0,0.6604552597965802
1,1,ols,{},,,54,54,4,7,0.0,0.3212201595306396,0,0.6024569240927898
1,1,ridge,"{""alpha"": 1000.0}",-0.4659723515214365,,54,54,4,7,4.105819940567017,4.413160085678101,13,0.6060809233529806
1,1,lasso,"{""alpha"": 0.0316}",-0.4235947944329589,,54,10,4,7,5.496324062347412,5.841231107711792,13,0.6246944514034877
1,1,elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.9}",-0.4317097383241113,,54,19,4,7,20.374338150024418,20.831419944763184,35,0.6133526903096054
1,1,rf,"{""n_estimators"": 200, ""max_depth"": 20, ""min_samples_leaf"": 20, ""max_features"": 1.0}",-0.5298358534048992,,54,54,4,7,388.4455327987671,401.46421098709106,40,0.22239125995788842
1,1,xgboost,"{""max_depth"": 6, ""learning_rate"": 0.05, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_lambda"": 1.0, ""min_child_weight"": 5}",-0.546138500571048,84.0,54,54,4,7,38.346128940582275,39.06861209869385,40,0.32281003172962486
2,1,climatology,{},,,0,0,4,7,0.0,0.0103011131286621,0,0.9862929128893774
2,1,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,7,0.0,1.5974044799804688e-05,0,0.7383734554973825
2,1,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,7,0.0,0.0484740734100341,0,0.6554039799757899
2,1,ols,{},,,55,55,4,7,0.0,0.3499269485473633,0,0.597469296800961
2,1,ridge,"{""alpha"": 1000.0}",-0.3102049271614344,,55,55,4,7,4.134903907775879,4.444338798522949,13,0.6009098845574316
