model,lead,mae,rmse,pearson_r,acc,msss_vs_climatology
elasticnet,1,0.064,0.078,0.051,0.05,0.092
elasticnet,3,-0.003,-0.004,-0.097,-0.07,-0.008
elasticnet,6,0.009,0.015,-0.055,-0.09,0.028
lasso,1,0.068,0.082,0.055,0.053,0.097
lasso,3,-0.004,-0.004,-0.095,-0.06,-0.009
lasso,6,0.009,0.015,-0.056,-0.093,0.028
ols,1,0.068,0.076,0.047,0.045,0.09
ols,3,-0.01,-0.032,-0.123,-0.191,-0.064
ols,6,-0.12,-0.169,-0.132,-0.225,-0.346
rf,1,-0.008,-0.005,-0.012,-0.013,-0.007
rf,3,-0.004,-0.031,0.041,-0.019,-0.062
rf,6,0.001,0.002,-0.008,-0.066,0.003
ridge,1,0.068,0.08,0.052,0.05,0.094
ridge,3,-0.01,-0.023,-0.122,-0.186,-0.046
ridge,6,-0.06,-0.088,-0.14,-0.229,-0.175
xgboost,1,0.025,0.031,0.016,0.014,0.038
xgboost,3,-0.056,-0.085,-0.014,-0.073,-0.174
xgboost,6,-0.032,-0.05,-0.104,-0.193,-0.098
