fold,lead,model,feature,importance,retained,kind
1,1,ar,spei3,0.710459760081693,True,none
1,1,ar,spei3_lag1,0.0009788991176918,True,none
1,1,ar,spei3_lag2,-0.1896358829769353,True,none
1,1,ols,cos_month,-0.0187759110869563,True,coef
1,1,ols,enso,-0.1251809744280662,True,coef
1,1,ols,enso_lag1,0.0820748840926242,True,coef
1,1,ols,lat_feat,-0.0273496148143269,True,coef
1,1,ols,lon_feat,0.0287946702751614,True,coef
1,1,ols,mo,-0.0002580777273687,True,coef
1,1,ols,mo_lag1,-0.0146965926667139,True,coef
1,1,ols,mo_lag2,-0.0244755644874208,True,coef
1,1,ols,nao,-0.0787863822139768,True,coef
1,1,ols,nao_lag1,0.0391723701256832,True,coef
1,1,ols,pet,-0.0238590654050984,True,coef
1,1,ols,precip,0.0745994191127766,True,coef
1,1,ols,precip_lag1,0.1414994125196631,True,coef
1,1,ols,precip_lag2,-0.1444327453582888,True,coef
1,1,ols,precip_lag5,-0.0445224637816524,True,coef
1,1,ols,precip_lag6,0.0847226924598309,True,coef
1,1,ols,rzsm,-0.2500003326926939,True,coef
1,1,ols,rzsm_lag1,0.0643577005353976,True,coef
1,1,ols,rzsm_lag2,0.1351065626962366,True,coef
1,1,ols,rzsm_lag4,-0.1200841307227889,True,coef
1,1,ols,rzsm_lag5,-0.0024581880106339,True,coef
1,1,ols,rzsm_lag6,-0.0136150051777197,True,coef
1,1,ols,rzsm_lag7,0.1019542869022756,True,coef
1,1,ols,sin_month,0.1230100325280945,True,coef
1,1,ols,solar,-0.1725878261564963,True,coef
1,1,ols,solar_lag1,0.11515562702407,True,coef
1,1,ols,spei3,0.7503897534887911,True,coef
1,1,ols,spei3_lag1,-0.0483161278592518,True,coef
1,1,ols,spei3_lag2,-0.1470316754919455,True,coef
1,1,ols,spei3_lag3,0.1368136722195152,True,coef
1,1,ols,spei3_lag4,-0.0207925994975798,True,coef
1,1,ols,tcwv,-0.0159582539098846,True,coef
1,1,ols,tcwv_lag1,0.1105124012508634,True,coef
1,1,ols,tcwv_lag10,-0.0481041299614266,True,coef
1,1,ols,tcwv_lag11,0.0469763710521344,True,coef
1,1,ols,tcwv_lag12,-0.072173275871448,True,coef
1,1,ols,tcwv_lag2,-0.1155194349161584,True,coef
1,1,ols,tcwv_lag3,-0.0119019396477506,True,coef
1,1,ols,tcwv_lag4,-0.0165280426954156,True,coef
1,1,ols,tcwv_lag5,-0.0351902690314727,True,coef
1,1,ols,tcwv_lag6,0.0183982843667943,True,coef
1,1,ols,tmax,0.2928557127371178,True,coef
1,1,ols,tmax_lag1,-0.1505543538804506,True,coef
1,1,ols,tmin,-0.0075109627702059,True,coef
1,1,ols,tmin_lag1,0.0936265561948675,True,coef
1,1,ols,vpd,-0.0892798576705182,True,coef
1,1,ols,vpd_lag1,-0.0338781525546129,True,coef
1,1,ols,vpd_lag11,0.0390269202841156,True,coef
1,1,ols,vpd_lag12,-0.0768372503232806,True,coef
1,1,ols,vpd_lag2,0.2097059157055724,True,coef
1,1,ols,vpd_lag3,-0.1140550505444267,True,coef
1,1,ols,vpd_lag5,-0.0076164644811806,True,coef
1,1,ols,vpd_lag6,0.0616356813928188,True,coef
1,1,ols,vpd_lag7,-0.0365878611519726,True,coef
1,1,ols,vpd_lag8,-0.0113513038355223,True,coef
1,1,ols,wind,-0.0086220092646779,True,coef
1,1,ols,wind_lag1,-0.025489169367565,True,coef
1,1,ridge,cos_month,-0.0065511432202978,True,coef
1,1,ridge,enso,-0.07663641079323,True,coef
1,1,ridge,enso_lag1,0.0332764753850774,True,coef
1,1,ridge,lat_feat,-0.0261116149894057,True,coef
1,1,ridge,lon_feat,0.0121090741517035,True,coef
1,1,ridge,mo,-0.0227489538233754,True,coef
1,1,ridge,mo_lag1,-0.0192771947709037,True,coef
1,1,ridge,mo_lag2,-0.0131344624275587,True,coef
1,1,ridge,nao,-0.0731506105235086,True,coef
1,1,ridge,nao_lag1,0.026631915152991,True,coef
1,1,ridge,pet,0.0093413713791676,True,coef
1,1,ridge,precip,0.1041140036889828,True,coef
1,1,ridge,precip_lag1,0.1122561908826094,True,coef
1,1,ridge,precip_lag2,-0.1293991151514809,True,coef
1,1,ridge,precip_lag5,-0.0317733353795776,True,coef
1,1,ridge,precip_lag6,0.0636667027705725,True,coef
1,1,ridge,rzsm,-0.1007737658788314,True,coef
1,1,ridge,rzsm_lag1,-0.0059008091383743,True,coef
1,1,ridge,rzsm_lag2,0.0160975638287077,True,coef
1,1,ridge,rzsm_lag4,-0.0262850335121804,True,coef
1,1,ridge,rzsm_lag5,-0.0085229325958932,True,coef
1,1,ridge,rzsm_lag6,0.0129705897789619,True,coef
1,1,ridge,rzsm_lag7,0.0335303823041883,True,coef
1,1,ridge,sin_month,0.0564310924381966,True,coef
1,1,ridge,solar,-0.082909599185574,True,coef
1,1,ridge,solar_lag1,0.0007423144263948,True,coef
1,1,ridge,spei3,0.6470052296947926,True,coef
1,1,ridge,spei3_lag1,0.0219585197342176,True,coef
1,1,ridge,spei3_lag2,-0.1400736425423488,True,coef
1,1,ridge,spei3_lag3,0.1093316274095022,True,coef
1,1,ridge,spei3_lag4,-0.0139467661468053,True,coef
1,1,ridge,tcwv,0.0570336719000447,True,coef
1,1,ridge,tcwv_lag1,0.0631704808094718,True,coef
1,1,ridge,tcwv_lag10,-0.0454106569573828,True,coef
1,1,ridge,tcwv_lag11,0.0415406266939866,True,coef
1,1,ridge,tcwv_lag12,-0.0499159281593976,True,coef
1,1,ridge,tcwv_lag2,-0.096062357224335,True,coef
1,1,ridge,tcwv_lag3,-0.0159461451955117,True,coef
