model,lead,mae,rmse,pearson_r,acc,msss_vs_climatology
elasticnet,1,0.062,0.077,0.053,0.052,0.091
elasticnet,3,-0.001,-0.001,-0.074,-0.054,-0.003
elasticnet,6,-0.004,-0.003,0.062,0.007,-0.007
lasso,1,0.067,0.082,0.055,0.054,0.097
lasso,3,-0.003,-0.003,-0.091,-0.062,-0.007
lasso,6,-0.004,-0.003,0.062,0.007,-0.007
ols,1,0.063,0.071,0.045,0.043,0.084
ols,3,-0.072,-0.088,-0.152,-0.202,-0.182
ols,6,-0.354,-0.439,-0.147,-0.243,-1.011
rf,1,-0.001,0.007,0.005,0.005,0.009
rf,3,-0.008,-0.011,0.005,-0.032,-0.021
rf,6,0.004,0.007,-0.073,-0.075,0.013
ridge,1,0.064,0.077,0.051,0.05,0.091
ridge,3,-0.043,-0.053,-0.154,-0.203,-0.108
ridge,6,-0.169,-0.22,-0.161,-0.255,-0.462
xgboost,1,0.033,0.04,0.027,0.025,0.049
xgboost,3,-0.034,-0.047,-0.022,-0.089,-0.094
xgboost,6,-0.186,-0.229,-0.212,-0.312,-0.482
