fold,lead,model,best_params,best_val_score,best_iteration,n_features_total,n_features_retained,K_eff,boundary_gap,search_duration_s,fit_duration_s,n_trials,train_rmse
1,1,climatology,{},,,0,0,4,7,0.0,0.0150179862976074,0,1.0021630578225293
1,1,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,7,0.0,2.1219253540039062e-05,0,0.7378427188625664
1,1,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,7,0.0,0.0633101463317871,0,0.6604552597965802
1,1,ols,{},,,57,57,4,7,0.0,0.756850004196167,0,0.6017869183192021
1,1,ridge,"{""alpha"": 1000.0}",-0.4744073629344019,,57,57,4,7,8.416031837463379,9.117780923843384,13,0.6056369171077908
1,1,lasso,"{""alpha"": 0.0316}",-0.4235735512519512,,57,11,4,7,10.950951099395752,11.729473114013672,13,0.624689975324622
1,1,elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.9}",-0.4320507827561832,,57,21,4,7,27.88335084915161,28.48913288116455,35,0.61333148861059
1,1,rf,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": 1.0}",-0.5402565818872298,,57,57,4,7,589.6288530826569,626.664614200592,40,0.10696530004869015
1,1,xgboost,"{""max_depth"": 4, ""learning_rate"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 0.1, ""min_child_weight"": 5}",-0.5044116092225441,81.0,57,57,4,7,42.438069105148315,43.113428831100464,40,0.39035493522244114
2,1,climatology,{},,,0,0,4,7,0.0,0.0108983516693115,0,0.9862929128893774
2,1,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,7,0.0,1.9788742065429688e-05,0,0.7383734554973825
2,1,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,7,0.0,0.05023193359375,0,0.6554039799757899
2,1,ols,{},,,59,59,4,7,0.0,0.3861203193664551,0,0.5959864612078103
2,1,ridge,"{""alpha"": 1000.0}",-0.3097906492847406,,59,59,4,7,4.5423970222473145,4.8909618854522705,13,0.5996777328964996
2,1,lasso,"{""alpha"": 0.0316}",-0.2765879307772557,,59,9,4,7,8.619744062423706,9.0264630317688,13,0.6180211120233929
2,1,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",-0.2767346937444081,,59,8,4,7,41.06612610816955,41.48401689529419,35,0.6307877889232897
2,1,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",-0.3579409368678065,,59,59,4,7,256.3370940685272,258.9783489704132,40,0.14135368611801144
2,1,xgboost,"{""max_depth"": 6, ""learning_rate"": 0.05, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_lambda"": 10.0, ""min_child_weight"": 5}",-0.3460644605848915,35.0,59,59,4,7,38.7928249835968,39.34494423866272,40,0.4731588215887669
3,1,climatology,{},,,0,0,4,7,0.0,0.0107059478759765,0,0.9756028359481265
3,1,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,7,0.0,3.1948089599609375e-05,0,0.7226322747284618
3,1,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,7,0.0,0.0501952171325683,0,0.6452353677478907
3,1,ols,{},,,61,61,4,7,0.0,0.4165799617767334,0,0.5852551169935459
3,1,ridge,"{""alpha"": 1000.0}",-0.2300331614573566,,61,61,4,7,4.856797933578491,5.227319002151489,13,0.5886975006690445
3,1,lasso,"{""alpha"": 0.00316}",-0.2320467223536421,,61,37,4,7,8.258907079696655,9.57272219657898,13,0.5904449248392429
